Unidade;Area;Capacitacao;Tipo;Horas;Custo;Mes T1;Data T1;Status T1;Convidados T1;Presentes T1;NPS T1;Mes T2;Data T2;Status T2;Convidados T2;Presentes T2;NPS T2;Mes T3;Data T3;Status T3;Convidados T3;Presentes T3;NPS T3;Mes T4;Data T4;Status T4;Convidados T4;Presentes T4;NPS T4;Mes T5;Data T5;Status T5;Convidados T5;Presentes T5;NPS T5
CAJ;Manutenç‹o;Manutenç‹o e Operaç‹o Paletizadoras ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Produç‹o;Operaç‹o Moinho de Bolas;Interno;;;Fev;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manutenç‹o;Capacitaç‹o Sistema Especialista ;Interno;;;Fev;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manutenç‹o;Rede de Comunicaç‹o El?trica Industrial ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manutenç‹o;Automaç‹o Industrial ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manutenç‹o;Instrumentaç‹o ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manutenç‹o;Alinhamento Conjuntos Rotativos e Montagem de Rolamentos ;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manutenç‹o;Pneum‡tica;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manutenç‹o;Factory Talk View Studio;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manutenç‹o;Manuseio nos Blasters Martin;Externo;4;5000;Mar;18 a 20;Planejado;25;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manutenç‹o;Manuseio de Bomba e Compressores ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Produç‹o;Manutenç‹o e Operaç‹o Filtros de Mangas;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manutenç‹o;Automaç‹o Industrial ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manutenç‹o;Pneum‡tica;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Manutenç‹o;Operat—ria de Manutenç‹o ;Interno;;6000;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Manutenç‹o;Governança de Grandes Paradas;Interno;;4400;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
